id,label,type,color,shape,size,scene,gender,social_class,title
Andoche Finot,Andoche Finot,character,skyblue,dot,25,,male,Bourgeoisie,"Newspaper editor and businessman
Son of a hatter
Eventually ascends to newspaper owner and a commerical force
Usually features with journalists or financiers (Gaudissart, des Lupeaulx)"
A PRINCE OF BOHEMIA,A PRINCE OF BOHEMIA,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE,,,
THE DEPUTY OF ARCIS,THE DEPUTY OF ARCIS,novel,goldenrod,square,50,SCENES DE LA VIE POLITIQUE,,,
A DAUGHTER OF EVE,A DAUGHTER OF EVE,novel,blue,square,50,SCENES DE LA VIE PRIVEE,,,
URSULA,URSULA,novel,sandybrown,square,40,SCENES DE LA VIE PROVINCE,,,
SCENES FROM A COURTESANS LIFE,SCENES FROM A COURTESANS LIFE,novel,#FF6F61,square,50,SCENES DE LA VIE PARISIENNE,,,
THE TWO BROTHERS,THE TWO BROTHERS,novel,sandybrown,square,50,SCENES DE LA VIE PROVINCE,,,
BUREAUCRACY,BUREAUCRACY,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE,,,
THE ILLUSTRIOUS GAUDISSART,THE ILLUSTRIOUS GAUDISSART,novel,sandybrown,square,10,SCENES DE LA VIE PROVINCE,,,
THE MAGIC SKIN,THE MAGIC SKIN,novel,plum,square,40,ETUDES PHILOSOPHIQUES,,,
A DISTINGUISHED PROVINCIAL AT PARIS,A DISTINGUISHED PROVINCIAL AT PARIS,novel,sandybrown,square,50,SCENES DE LA VIE PROVINCE,,,
THE FIRM OF NUCINGEN,THE FIRM OF NUCINGEN,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE,,,
BEATRIX,BEATRIX,novel,blue,square,50,SCENES DE LA VIE PRIVEE,,,
RISE AND FALL OF CESAR BIROTTEAU,RISE AND FALL OF CESAR BIROTTEAU,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE,,,
THE MUSE OF THE DEPARTMENT,THE MUSE OF THE DEPARTMENT,novel,sandybrown,square,50,SCENES DE LA VIE PROVINCE,,,
A START IN LIFE,A START IN LIFE,novel,blue,square,40,SCENES DE LA VIE PRIVEE,,,
Comte Clément des Lupeaulx,Comte Clément des Lupeaulx,character,skyblue,dot,25,,male,Old Aristocracy,"Son of a wealthy father ennobled under Louis XV
Politician who rises through social and administrative ranks, holds multiple high offices (Council of State, Finance Ministry, National Guard)
Powerful political intermediary for aristocratic interests
Socially prominent liberatine, usually features in high society scenes"
THE LESSER BOURGEOISIE,THE LESSER BOURGEOISIE,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE,,,
EVE AND DAVID,EVE AND DAVID,novel,sandybrown,square,40,SCENES DE LA VIE PROVINCE,,,
THE COLLECTION OF ANTIQUITIES,THE COLLECTION OF ANTIQUITIES,novel,sandybrown,square,40,SCENES DE LA VIE PROVINCE,,,
EUGENIE GRANDET,EUGENIE GRANDET,novel,sandybrown,square,20,SCENES DE LA VIE PROVINCE,,,
SONS OF THE SOIL,SONS OF THE SOIL,novel,mediumseagreen,square,40,SCENES DE LA VIE DE CAMPAGNE,,,
Comte Maxime de Trailles,Comte Maxime de Trailles,character,skyblue,dot,30,,male,Old Aristocracy,"Dandy, fashionable salon frequenter
Notorious for affairs with the rich and famous, notably Anastasie Restaud & Sarah Gobseck (whom he ruins)
Protege and close associate of Henri de Marsay 
Eventually ascends to a department deputy in spite of his poor reputation 
"
UNCONSCIOUS COMEDIANS,UNCONSCIOUS COMEDIANS,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE,,,
THE MARRIAGE CONTRACT,THE MARRIAGE CONTRACT,novel,blue,square,30,SCENES DE LA VIE PRIVEE,,,
GOBSECK,GOBSECK,novel,blue,square,10,SCENES DE LA VIE PRIVEE,,,
THE SECRETS OF THE PRINCESSE DE CADIGNAN,THE SECRETS OF THE PRINCESSE DE CADIGNAN,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE,,,
THE COMMISSION IN LUNACY,THE COMMISSION IN LUNACY,novel,blue,square,40,SCENES DE LA VIE PRIVEE,,,
COUSIN BETTY,COUSIN BETTY,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE,,,
FATHER GORIOT,FATHER GORIOT,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE,,,
A MAN OF BUSINESS,A MAN OF BUSINESS,novel,#FF6F61,square,30,SCENES DE LA VIE PARISIENNE,,,
PAZ,PAZ,novel,blue,square,30,SCENES DE LA VIE PRIVEE,,,
Duc de Rhétoré,Duc de Rhétoré,character,skyblue,dot,10,,male,Old Aristocracy,"Son and heir to the Duc and Duchesse de Chaulieu
Dandy and society leader
Lover of Madame du Bruel (the dancer Tullia) for many years
Marries the Duchesse d'Argaiolo"
LETTERS OF TWO BRIDES,LETTERS OF TWO BRIDES,novel,blue,square,30,SCENES DE LA VIE PRIVEE,,,
ALBERT SAVARUS,ALBERT SAVARUS,novel,blue,square,20,SCENES DE LA VIE PRIVEE,,,
MODESTE MIGNON,MODESTE MIGNON,novel,blue,square,40,SCENES DE LA VIE PRIVEE,,,
Etienne Lousteau,Etienne Lousteau,character,skyblue,dot,30,,male,Bourgeoisie,"Parisian critic and journalist
Close associate of Nathan and Finot and trained Lucien du Rubempre in journalism
Former lover of Madame Schontz/Madame du Ronceret"
Eugène de Rastignac,Eugène de Rastignac,character,skyblue,dot,40,,male,Bourgeoisie,"Provincial minor noble turned Parisian dandy
Deftly moves between social groups 
Most frequent recurring character of La Comedie Humaine who typefies the social climber
Begins as a poor law student and ascends to title of Comte de Rasignac over the course of the series
Longtime lover (and eventual son-in-law) of Delphine de Nucingen, ascends to wealth via Nucingen affairs"
THE BALL AT SCEAUX,THE BALL AT SCEAUX,novel,blue,square,20,SCENES DE LA VIE PRIVEE,,,
MELMOTH RECONCILED,MELMOTH RECONCILED,novel,plum,square,20,ETUDES PHILOSOPHIQUES,,,
THE VILLAGE RECTOR,THE VILLAGE RECTOR,novel,mediumseagreen,square,20,SCENES DE LA VIE DE CAMPAGNE,,,
AN HISTORICAL MYSTERY,AN HISTORICAL MYSTERY,novel,goldenrod,square,30,SCENES DE LA VIE POLITIQUE,,,
ANOTHER STUDY OF WOMAN,ANOTHER STUDY OF WOMAN,novel,blue,square,40,SCENES DE LA VIE PRIVEE,,,
STUDY OF A WOMAN,STUDY OF A WOMAN,novel,blue,square,20,SCENES DE LA VIE PRIVEE,,,
Ferdinand du Tillet,Ferdinand du Tillet,character,skyblue,dot,25,,male,Bourgeoisie,"Commercial traveler and financier
Connects multiple characters and plots through finances, sometimes less savory dealings
Close associate of Nucingen and Claparon
Long-time lover of Madame Roguin"
THE BROTHERHOOD OF CONSOLATION,THE BROTHERHOOD OF CONSOLATION,novel,goldenrod,square,20,SCENES DE LA VIE POLITIQUE,,,
PIERRETTE,PIERRETTE,novel,sandybrown,square,20,SCENES DE LA VIE PROVINCE,,,
A WOMAN OF THIRTY,A WOMAN OF THIRTY,novel,blue,square,20,SCENES DE LA VIE PRIVEE,,,
Horace Bianchon,Horace Bianchon,character,skyblue,dot,30,,male,Bourgeoisie,"Doctor who studied under Desplein 
Second most frequent recurring character in La Comedie Humaine
Appears most often as a minor character, consulting on an illness
Close friend of Rastignac
Balzac is said to have called for Bianchon on his deathbed"
HONORINE,HONORINE,novel,blue,square,30,SCENES DE LA VIE PRIVEE,,,
COUSIN PONS,COUSIN PONS,novel,#FF6F61,square,30,SCENES DE LA VIE PARISIENNE,,,
THE ATHEISTS MASS,THE ATHEISTS MASS,novel,blue,square,10,SCENES DE LA VIE PRIVEE,,,
A SECOND HOME,A SECOND HOME,novel,blue,square,20,SCENES DE LA VIE PRIVEE,,,
Jean Francois du Bruel,Jean Francois du Bruel,character,skyblue,dot,20,,male,Bourgeoisie,"Wealthy civil servant and playwright
Sometimes referred to by the penname ""Cursy""
Ascends to a peer of France and title of Comte
Marries the dancer Tullia, who is instrumental to his social rise"
Jean-Jacques Bixiou,Jean-Jacques Bixiou,character,skyblue,dot,30,,male,Artist,"Famous caricature artist who rises to social prominence throughout the novels
Obtains an administrative role through Duc de Maufrigneuse and Duc de Rhetore, earning financial stability
Usually features in company of journalists or artists
Close associate of Bridau, de Lora, and Schinner
Known for his incisive wit "
GAUDISSART II,GAUDISSART II,novel,#FF6F61,square,10,SCENES DE LA VIE PARISIENNE,,,
THE PURSE,THE PURSE,novel,blue,square,20,SCENES DE LA VIE PRIVEE,,,
Madame Florine Nathan,Madame Florine Nathan,character,skyblue,dot,25,,female,Artist,"Famous actress and social-climbing socialite
Kept mistress to many of the rich and famous
Longtime lover and eventual wife of Raoul Nathan"
Raoul Nathan,Raoul Nathan,character,skyblue,dot,30,,male,Bourgeoisie,"Poet, writer, and sometimes journalist
Social-climbing son of a haberdasher 
Close associate of Blondet, Finot, du Bruel 
Often features as a social dilletante in high and low party scenes
Longtime lover and eventual husband of the actress Florine"
Émile Blondet,Émile Blondet,character,skyblue,dot,30,,male,Bourgeoisie,"Journalist
Usually features with other journalists
Often provides sharply ironic observations about contemporary France
Marries Madame Viginie de Montcornet, a notably rare happy ending"
Henri de Marsay,Henri de Marsay,character,skyblue,dot,30,,male,Old Aristocracy,"Dandy and lover of many of the rich and famous (incl. Lady Dudley, whose children are his)
Illegitimate son of Lord Dudley
Member of the Thirteen secret society 
Represents a dark undercurrent in the upper class, his sinister dealings with women are often mentioned"
THE DUCHESSE OF LANGEAIS,THE DUCHESSE OF LANGEAIS,novel,#FF6F61,square,30,SCENES DE LA VIE PARISIENNE,,,
THE GIRL WITH THE GOLDEN EYES,THE GIRL WITH THE GOLDEN EYES,novel,#FF6F61,square,20,SCENES DE LA VIE PARISIENNE,,,
THE THIRTEEN,THE THIRTEEN,novel,#FF6F61,square,30,SCENES DE LA VIE PARISIENNE,,,
THE LILY OF THE VALLEY,THE LILY OF THE VALLEY,novel,sandybrown,square,30,SCENES DE LA VIE PROVINCE,,,
Lady Arabella Dudley,Lady Arabella Dudley,character,skyblue,dot,20,,female,Old Aristocracy,"English aristocrat of searing wit notorious for her affairs with the rich and famous
Estranged wife of Lord Dudley
Former lover of Felix de Vandenesse, becomes an enemy to him and later his wife
Henri de Marsay is the father of her children"
Lord Dudley,Lord Dudley,character,skyblue,dot,10,,male,Old Aristocracy,"Powerful English aristocrat and statesman 
Illegitimate father of Henri de Marsay
Husband of Lady Dudley
Known for his immorality and numerous mistresses
"
Mademoiselle des Touches,Mademoiselle des Touches,character,skyblue,dot,25,,female,Old Aristocracy,"Famous writer known as ""Camille Maupin""
Society host often surrounded by artists
Wealthy patron of the arts from a wealthy aristocratic family 
Heavily inspired by George Sand"
Francois-Claude-Marie Godeschal,Francois-Claude-Marie Godeschal,character,skyblue,dot,20,,male,Bourgeoisie,"Begins as a law clerk, becomes a succesful lawyer
Brother of Marie (the dancer Mariette) 
Often features in legal scenes involving petitions and contracts"
COLONEL CHABERT,COLONEL CHABERT,novel,blue,square,10,SCENES DE LA VIE PRIVEE,,,
Charles Claparon,Charles Claparon,character,skyblue,dot,20,,male,Bourgeoisie,"Commercial traveler and banker
Close associate of Ferdinand du Tillet and Nucingen, involved in less savory dealings
Eventually becomes bankrupt and emigrates"
Joseph Bridau,Joseph Bridau,character,skyblue,dot,30,,male,Artist,"Famous painter who rises to social prominence throughout the novels
Usually features in company of the Parisian artists' circle
Raised as the black sheep of a military family
Often mentioned in the context of his work (paintings, decorating homes)
Close associate of Bixiou, de Lora, and Schinner"
PIERRE GRASSOU,PIERRE GRASSOU,novel,blue,square,20,SCENES DE LA VIE PRIVEE,,,
Baron de Nucingen,Baron de Nucingen,character,skyblue,dot,30,,male,State/Imperial Nobility,"Wealthy banker and financier, connects multiple characters and plots via financing
Financial bougeoisie by social role; Alsatian by birth, first rises to wealth and prominence during the Restoration 
Husband of Delphine 
Lover of Esther van Gobseck, with whom he is passionately obsessed
Close associate of du Tillet and of Rastignac (who eventually becomes his son-in-law)
Balzac uses his name as a stand-in for wealth (a Nucingen) "
SARRASINE,SARRASINE,novel,#FF6F61,square,10,SCENES DE LA VIE PARISIENNE,,,
Martial de La Roche-Hugon,Martial de La Roche-Hugon,character,skyblue,dot,15,,male,State/Imperial Nobility,"Influential politician, ascends to social prominence via rising through administrative roles
Served Empire, Bourbons, and July Monarchy
Eventually becomes brother-in-law to Rastignac, who arranges his marriage with one of his sisters"
DOMESTIC PEACE,DOMESTIC PEACE,novel,blue,square,10,SCENES DE LA VIE PRIVEE,,,
Comte de Granville,Comte de Granville,character,skyblue,dot,25,,male,Old Aristocracy,"Head of a wealthy aristocratic family
Magistrate with important judicial & administrative roles
Unhappily married to Angelique de Granville 
Becomes father-in-law of Felix de Vandenesse and of Ferdinand du Tillet"
Jacques Collin,Jacques Collin,character,skyblue,dot,35,,male,Bourgeoisie,"Criminal mastermind on the run from the law
His expoits eventually earn him a role as police chief
Patron of Lucien de Rubempre
Numerous false identities and aliases: Vautrin, Abbe Carlos Herrera, Trompe-la-Morte"
